age_group,diet_group,mean_ghgs,mean_land,mean_watscar
20-29,fish,5.377071242,8.589806592,14012.27478
30-39,fish,5.376457296,8.620238126,15030.2661
40-49,fish,5.169838218,8.304830527,15441.25934
50-59,fish,4.933743886,7.880759327,16244.68021
60-69,fish,5.428442023,8.701866914,18364.95302
70-79,fish,5.446094094,8.929224307,19987.50855
20-29,fish,7.699646286,11.9521644,19854.45132
30-39,fish,6.841501211,10.75927309,19212.19001
40-49,fish,6.502769564,10.34802976,18380.27989
50-59,fish,6.128043392,9.621960327,18571.70033
60-69,fish,6.456611895,10.47991755,20589.37122
70-79,fish,6.383544415,10.40427127,23773.81375
20-29,meat100,13.35883315,29.76093424,24360.42455
30-39,meat100,13.33142846,30.70383262,24723.57555
40-49,meat100,14.17303864,34.49172495,23802.0163
50-59,meat100,14.36603216,35.54199974,24062.9922
60-69,meat100,14.45531201,35.79354057,25035.53059
70-79,meat100,15.86140231,39.5228809,27857.96374
20-29,meat100,18.96586137,42.12452554,34137.25008
30-39,meat100,16.21791839,36.70749964,31000.61756
40-49,meat100,15.96394898,37.83126944,27258.6913
50-59,meat100,16.13814577,38.96229055,27555.83217
60-69,meat100,15.75445071,38.068416,29409.17463
70-79,meat100,17.81838159,44.70210899,30717.5802
20-29,meat50,5.579263622,9.662924809,13789.81058
30-39,meat50,5.702501209,9.825545479,15044.1534
40-49,meat50,5.565382029,9.866193361,14962.39848
50-59,meat50,5.437731663,9.683600272,15322.68682
60-69,meat50,5.758502983,10.23579461,16576.40212
70-79,meat50,5.858131602,10.44104023,17267.8878
20-29,meat50,7.17765778,12.09369747,16298.07096
30-39,meat50,7.206922749,12.13622951,19446.81347
40-49,meat50,6.831079161,11.78991632,18738.14293
50-59,meat50,6.522924552,11.52396178,17495.65895
60-69,meat50,6.440335922,11.64463952,17963.89176
70-79,meat50,6.988601818,12.65114421,19535.51777
20-29,meat,7.659218475,14.47467386,17463.77265
30-39,meat,7.770700169,14.96991352,18180.95378
40-49,meat,8.017569701,16.31812686,17824.89212
50-59,meat,7.847880929,16.22915332,17713.49708
60-69,meat,7.946019118,16.08316994,19478.132
70-79,meat,8.558575848,17.60893696,21545.25881
20-29,meat,9.688247334,17.41081544,22282.52524
30-39,meat,9.684836096,18.0599793,23030.31216
40-49,meat,9.640182039,19.44031404,20737.56306
50-59,meat,9.047804354,18.65566793,20329.97813
60-69,meat,9.266032875,19.30260759,21455.34428
70-79,meat,9.741498801,20.8975,22468.0397
20-29,vegan,2.214182677,3.930342294,10787.10486
30-39,vegan,2.464609736,4.300586264,11582.62766
40-49,vegan,2.700915911,4.832332666,13871.59216
50-59,vegan,2.377150171,4.621416252,15010.83661
60-69,vegan,2.543956692,5.148310355,16612.73328
70-79,vegan,3.164855711,5.598104817,16966.76651
20-29,vegan,3.468557509,5.934931192,16133.38626
30-39,vegan,2.945245393,5.080474631,15591.25098
40-49,vegan,2.909198235,5.056270894,14992.6295
50-59,vegan,2.462820391,4.595471685,13910.50856
60-69,vegan,2.634398001,5.074669351,19334.30417
70-79,vegan,2.726391207,4.862401481,16984.4427
20-29,veggie,4.855899374,8.300270515,10984.27793
30-39,veggie,4.861304917,8.358854896,12035.9842
40-49,veggie,4.757290015,8.278696167,12763.84951
50-59,veggie,4.622061779,8.061988424,13856.09381
60-69,veggie,4.954077831,8.571244869,15560.30809
70-79,veggie,5.301387815,9.366277517,17435.42444
20-29,veggie,6.856881291,11.41397092,15568.50271
30-39,veggie,6.436556015,10.7283715,15397.4127
40-49,veggie,5.921596649,10.02313294,15857.55254
50-59,veggie,5.472237782,9.543739157,15511.19634
60-69,veggie,5.591820132,9.854769282,17505.7582
70-79,veggie,6.303801844,11.12441436,20719.81653
